Validation_Set,Topics,Alpha,Beta,Coherence
['100% Corpus'],2,0.01,0.01,0.5131548498143572
['100% Corpus'],2,0.01,0.31,0.5067148116811526
['100% Corpus'],2,0.01,0.61,0.5006276042365373
['100% Corpus'],2,0.01,0.9099999999999999,0.4817036639061124
['100% Corpus'],2,0.01,symmetric,0.4982919863104356
['100% Corpus'],2,0.31,0.01,0.5549699253579763
['100% Corpus'],2,0.31,0.31,0.5590973489636442
['100% Corpus'],2,0.31,0.61,0.5584405283684668
['100% Corpus'],2,0.31,0.9099999999999999,0.5145203645057338
['100% Corpus'],2,0.31,symmetric,0.5590973489636442
['100% Corpus'],2,0.61,0.01,0.5339657382735936
['100% Corpus'],2,0.61,0.31,0.5226949650802751
['100% Corpus'],2,0.61,0.61,0.5226949650802752
['100% Corpus'],2,0.61,0.9099999999999999,0.5166667417927706
['100% Corpus'],2,0.61,symmetric,0.5226949650802752
['100% Corpus'],2,0.9099999999999999,0.01,0.5225407285073154
['100% Corpus'],2,0.9099999999999999,0.31,0.5131808039723967
['100% Corpus'],2,0.9099999999999999,0.61,0.5260461826062289
['100% Corpus'],2,0.9099999999999999,0.9099999999999999,0.5173745002793919
['100% Corpus'],2,0.9099999999999999,symmetric,0.5381657442038463
['100% Corpus'],2,symmetric,0.01,0.5299188597580146
['100% Corpus'],2,symmetric,0.31,0.54807091582438
['100% Corpus'],2,symmetric,0.61,0.5226949650802751
['100% Corpus'],2,symmetric,0.9099999999999999,0.5226949650802752
['100% Corpus'],2,symmetric,symmetric,0.5226949650802751
['100% Corpus'],2,asymmetric,0.01,0.5275558151850273
['100% Corpus'],2,asymmetric,0.31,0.5152913287125322
['100% Corpus'],2,asymmetric,0.61,0.48412715408579815
['100% Corpus'],2,asymmetric,0.9099999999999999,0.4581664542361744
['100% Corpus'],2,asymmetric,symmetric,0.5119800834397201
['100% Corpus'],3,0.01,0.01,0.523738840627095
['100% Corpus'],3,0.01,0.31,0.5475582196436571
['100% Corpus'],3,0.01,0.61,0.5174795566232354
['100% Corpus'],3,0.01,0.9099999999999999,0.5485297158238763
['100% Corpus'],3,0.01,symmetric,0.5262218687153529
['100% Corpus'],3,0.31,0.01,0.5252881376644768
['100% Corpus'],3,0.31,0.31,0.514912886289019
['100% Corpus'],3,0.31,0.61,0.5194913962667501
['100% Corpus'],3,0.31,0.9099999999999999,0.5123268776397917
['100% Corpus'],3,0.31,symmetric,0.514912886289019
['100% Corpus'],3,0.61,0.01,0.5398642561554451
['100% Corpus'],3,0.61,0.31,0.5216528790870107
['100% Corpus'],3,0.61,0.61,0.517147805900223
['100% Corpus'],3,0.61,0.9099999999999999,0.49728679450032404
['100% Corpus'],3,0.61,symmetric,0.5216528790870107
['100% Corpus'],3,0.9099999999999999,0.01,0.5334236660693586
['100% Corpus'],3,0.9099999999999999,0.31,0.5322518227996592
['100% Corpus'],3,0.9099999999999999,0.61,0.5012671790031819
['100% Corpus'],3,0.9099999999999999,0.9099999999999999,0.4964661635099841
['100% Corpus'],3,0.9099999999999999,symmetric,0.5187408668084522
['100% Corpus'],3,symmetric,0.01,0.5252881376644768
['100% Corpus'],3,symmetric,0.31,0.5236560690197241
['100% Corpus'],3,symmetric,0.61,0.517313438493519
['100% Corpus'],3,symmetric,0.9099999999999999,0.5123268776397917
['100% Corpus'],3,symmetric,symmetric,0.5236560690197241
['100% Corpus'],3,asymmetric,0.01,0.5050474952880657
['100% Corpus'],3,asymmetric,0.31,0.4563144096497161
['100% Corpus'],3,asymmetric,0.61,0.6005071901322089
['100% Corpus'],3,asymmetric,0.9099999999999999,0.6411533145570424
['100% Corpus'],3,asymmetric,symmetric,0.4554338755332157
['100% Corpus'],4,0.01,0.01,0.5123104900998402
['100% Corpus'],4,0.01,0.31,0.4984958699774924
['100% Corpus'],4,0.01,0.61,0.5046328401616846
['100% Corpus'],4,0.01,0.9099999999999999,0.5090268208368515
['100% Corpus'],4,0.01,symmetric,0.49249694128636945
['100% Corpus'],4,0.31,0.01,0.5081435211061037
['100% Corpus'],4,0.31,0.31,0.49863485656456885
['100% Corpus'],4,0.31,0.61,0.49681036926894434
['100% Corpus'],4,0.31,0.9099999999999999,0.4842565922558036
['100% Corpus'],4,0.31,symmetric,0.5019829688863502
['100% Corpus'],4,0.61,0.01,0.5188691052083567
['100% Corpus'],4,0.61,0.31,0.5084103630788733
['100% Corpus'],4,0.61,0.61,0.5118463246482898
['100% Corpus'],4,0.61,0.9099999999999999,0.4988487269187811
['100% Corpus'],4,0.61,symmetric,0.5131753504663157
['100% Corpus'],4,0.9099999999999999,0.01,0.5109884758570549
['100% Corpus'],4,0.9099999999999999,0.31,0.5089322960179521
['100% Corpus'],4,0.9099999999999999,0.61,0.5031910977844556
